קטגוריה,פריט,סטטוס,הערות
אימות וניהול משתמשים,כל דף מוגן עם auth_require_login,,
אימות וניהול משתמשים,כל דף בודק הרשאות עם auth_require_permission,,
אימות וניהול משתמשים,סיסמאות מוצפנות עם password_hash,,
אימות וניהול משתמשים,מדיניות סיסמאות חזקה,,
אימות וניהול משתמשים,Rate Limiting על דף הלוגין,,
אימות וניהול משתמשים,2FA/OTP לכניסות חשובות,,
אימות וניהול משתמשים,Session Regeneration אחרי לוגין,,
אימות וניהול משתמשים,Timeout אוטומטי של Session,,
אימות וניהול משתמשים,יציאה מכל המכשירים,,
אימות וניהול משתמשים - מתקדם,IP Whitelisting לאדמינים,,
אימות וניהול משתמשים - מתקדם,התראות על כניסות חשודות,,
אימות וניהול משתמשים - מתקדם,לוג מפורט של פעולות משתמשים,,
אימות וניהול משתמשים - מתקדם,נעילת חשבון אחרי X ניסיונות,,
אימות וניהול משתמשים - מתקדם,אימות דו-שלבי חובה לאדמינים,,
CSRF Protection,בדיקת csrf_validate בכל POST request,,
CSRF Protection,רשימת פעולות מסוכנות (mutatingActions),,
CSRF Protection,CSRF Token בכל טופס,,
CSRF Protection,Meta tag ב-header,,
CSRF Protection,הוספת Token ל-AJAX requests,,
SQL Injection Prevention,אף פעם לא query() עם משתנים,,
SQL Injection Prevention,תמיד Prepared Statements,,
SQL Injection Prevention,אין שרשור משתנים ל-SQL,,
SQL Injection Prevention,בדיקת טיפוסים למספרים,,
SQL Injection Prevention,Whitelisting לשמות טבלאות,,
XSS Prevention,כל echo עם htmlspecialchars,,
XSS Prevention,JSON encode עם HEX flags,,
XSS Prevention,escape ב-HTML attributes,,
XSS Prevention,אין להכניס נתונים ל-eval/innerHTML,,
XSS Prevention,HTMLPurifier לתוכן עשיר,,
XSS Prevention,Content-Security-Policy מחמיר,,
File Upload Security,בדיקת שגיאות UPLOAD_ERR_OK,,
File Upload Security,בדיקת סיומת (Whitelist),,
File Upload Security,בדיקת גודל קובץ,,
File Upload Security,בדיקת MIME type,,
File Upload Security,שם קובץ אקראי,,
File Upload Security,שמירה מחוץ ל-web root,,
File Upload Security,אין הרצה של קבצים מועלים,,
File Upload Security,סריקת וירוסים,,
Security Headers,HSTS - Strict-Transport-Security,,
Security Headers,X-Frame-Options: DENY,,
Security Headers,X-Content-Type-Options: nosniff,,
Security Headers,X-XSS-Protection,,
Security Headers,Referrer-Policy,,
Security Headers,Permissions-Policy,,
Security Headers,Content-Security-Policy,,
Session Security,Session lifetime מוגדר,,
Session Security,secure=true (HTTPS only),,
Session Security,httponly=true,,
Session Security,samesite=Strict,,
Session Security,Session ID משתנה אחרי לוגין,,
Session Security,Session ID לא ב-URL,,
Session Security,Timeout אחרי אי-פעילות,,
Input Validation,Whitelist validation,,
Input Validation,filter_var לאימות,,
Input Validation,בדיקת אורך,,
Input Validation,בדיקת פורמט (regex),,
Input Validation,"Sanitization (trim, strip_tags)",,
Input Validation,בדיקת ערכים מורשים,,
Error Handling & Logging,display_errors = Off בפרודקשן,,
Error Handling & Logging,error_reporting = E_ALL,,
Error Handling & Logging,log_errors = On,,
Error Handling & Logging,הודעות שגיאה גנריות,,
Error Handling & Logging,לוג כניסות מוצלחות וכושלות,,
